sr,category,district,taluka,village,regno,name,name_confidence,rooms,commercial_value_raw,commercial_value,regulatory_urgency_raw,regulatory_urgency,service_tier,service_tier_score_raw,service_tier_score,value_score,decision_fit,phase1_score,tier
1025,C,South Goa,Salcete,Margao,HOTS000778,Hotel Raj Resort,high,60,5.930737337562887,0.6612730157466338,3,1.0,2,2,0.6666666666666666,0.7812,1.0,0.7812,Priority
1087,A,South Goa,Salcete,Colva,HOTS000516,Acacia Palms Resort,high,60,5.930737337562887,0.6612730157466338,3,1.0,2,2,0.6666666666666666,0.7812,1.0,0.7812,Priority
4156,C,North Goa,Tiswadi,Panaji,HOTN001219,Mayfair Hotel,high,59,5.906890595608519,0.6586141208959007,3,1.0,2,2,0.6666666666666666,0.7801,1.0,0.7801,Priority
8610,B,South Goa,Salcete,Benaulim,HOTS000532,Orchid Passaros,high,58,5.882643049361842,0.6559105366502384,3,1.0,2,2,0.6666666666666666,0.779,1.0,0.779,Priority
5322,B,North Goa,Pernem,Arambol,HOTN007223,Nazri Hotel,high,56,5.832890014164742,0.6503631084377366,3,1.0,2,2,0.6666666666666666,0.7768,1.0,0.7768,Priority
2107,B,South Goa,Salcete,Margao,HOTS000072,Nanutel Margao,high,55,5.807354922057605,0.6475159637398745,3,1.0,2,2,0.6666666666666666,0.7757,1.0,0.7757,Priority
4523,B,North Goa,Tiswadi,Panaji,HOTN000393,Hotel Palacio De Goa,high,55,5.807354922057605,0.6475159637398745,3,1.0,2,2,0.6666666666666666,0.7757,1.0,0.7757,Priority
7695,B,North Goa,Tiswadi,Panaji,HOTN001144,Grande Delmon,high,55,5.807354922057605,0.6475159637398745,3,1.0,2,2,0.6666666666666666,0.7757,1.0,0.7757,Priority
9416,B,South Goa,Salcete,Margao,HOTS000774,Hotel Cosmique,high,55,5.807354922057605,0.6475159637398745,3,1.0,2,2,0.6666666666666666,0.7757,1.0,0.7757,Priority
1097,B,South Goa,Salcete,Betelbatim,HOTS000698,Jasminn Hotel,high,55,5.807354922057605,0.6475159637398745,3,1.0,2,2,0.6666666666666666,0.7757,1.0,0.7757,Priority
2243,B,South Goa,Salcete,Colva,HOTS000266,Hotel Colva Kinara,high,54,5.78135971352466,0.6446175163861755,3,1.0,2,2,0.6666666666666666,0.7745,1.0,0.7745,Priority
8541,B,South Goa,Salcete,Margao,HOTS000548,Hotel Greenview,high,54,5.78135971352466,0.6446175163861755,3,1.0,2,2,0.6666666666666666,0.7745,1.0,0.7745,Priority
8487,B,South Goa,Salcete,Margao,HOTS000040,Goa Woodlands Hotel,high,54,5.78135971352466,0.6446175163861755,3,1.0,2,2,0.6666666666666666,0.7745,1.0,0.7745,Priority
6786,A,North Goa,Tiswadi,Taleigao,HOTN000526,Chances Resort And Casino,high,53,5.754887502163469,0.6416658835547188,3,1.0,2,2,0.6666666666666666,0.7733,1.0,0.7733,Priority
6000,B,South Goa,Salcete,Colva,HOTS000638,Longuinhos Beach Resort,high,53,5.754887502163469,0.6416658835547188,3,1.0,2,2,0.6666666666666666,0.7733,1.0,0.7733,Priority
3939,A,South Goa,Salcete,Betelbatim,HOTS000139,Sea Queen Beach Resort,high,53,5.754887502163469,0.6416658835547188,3,1.0,2,2,0.6666666666666666,0.7733,1.0,0.7733,Priority
2165,C,South Goa,Salcete,Margao,HOTS000743,Hotel Grace Majestic,high,53,5.754887502163469,0.6416658835547188,3,1.0,2,2,0.6666666666666666,0.7733,1.0,0.7733,Priority
9355,B,South Goa,Salcete,Betelbatim,HOTS002418,Masaka Suites,high,52,5.7279204545632,0.6386590768328178,3,1.0,2,2,0.6666666666666666,0.7721,1.0,0.7721,Priority
634,A,North Goa,Tiswadi,Panaji,HOTN000969,The Crown Goa,high,52,5.7279204545632,0.6386590768328178,3,1.0,2,2,0.6666666666666666,0.7721,1.0,0.7721,Priority
9147,B,South Goa,Salcete,Carmona,HOTS002135,Azalea By Stone Wood,high,52,5.7279204545632,0.6386590768328178,3,1.0,2,2,0.6666666666666666,0.7721,1.0,0.7721,Priority
4525,B,North Goa,Pernem,Arambol,HOTN003898,Lotus Sutra,high,52,5.7279204545632,0.6386590768328178,3,1.0,2,2,0.6666666666666666,0.7721,1.0,0.7721,Priority
